GPA,STEM,Demographic,Income,Athletics,Scholarship
2.353158413875607,0,Black,Middle,1,1
1.7853953830640008,0,Hispanic,Middle,1,0
2.051636025716931,1,Hispanic,Low,0,0
3.860073761557986,0,Other minority,Middle,1,0
3.2282178151471257,0,Hispanic,Low,1,1
3.3528822194074106,0,Hispanic,Middle,1,0
3.899605887694069,1,Black,Low,0,1
1.7941670246718737,0,Hispanic,Low,0,0
3.3810676780647424,1,Hispanic,Middle,0,0
3.168379677514883,1,Black,Middle,0,1
3.726958138617057,1,Black,Middle,0,1
3.0894104390998782,1,White,Middle,0,1
3.573028208692313,0,Other minority,Upper,0,0
3.117682678624948,0,White,Middle,0,1
2.0035037712764336,0,Other minority,Middle,0,0
3.1500195372863353,0,Other minority,Low,1,0
3.9562782621904713,1,Asian,Upper,0,1
1.7870759698342522,0,Black,Middle,1,1
3.2441733721447643,0,Hispanic,Low,1,1
3.342686275133724,0,Hispanic,Low,1,1
3.297030529139043,1,Black,Upper,1,1
3.153741456420007,1,Black,Low,1,1
1.9315421671170578,1,Asian,Middle,0,0
3.0362221472517725,1,White,Middle,1,1
3.2728716295140727,1,Black,Middle,1,1
1.2389759694695979,0,Hispanic,Middle,0,0
3.886443930360077,0,White,Low,1,1
3.395020772250432,1,Hispanic,Upper,0,0
3.159906654815078,0,White,Low,1,1
3.0960531014135126,0,Other minority,Low,0,0
3.361036690797094,0,White,Middle,0,1
3.2307781620579363,1,Black,Middle,1,1
3.6151814394969715,1,Other minority,Middle,1,1
3.0120161255788074,0,Asian,Middle,1,1
3.5103791641685747,0,Other minority,Low,1,1
2.257405516448636,1,White,Middle,1,1
3.518287052341908,1,Asian,Middle,0,1
3.8144872107554026,0,Asian,Upper,1,1
3.78116111906201,0,Hispanic,Upper,1,0
3.56281245635192,0,Other minority,Middle,1,0
3.239125163204006,1,Black,Upper,1,1
3.1572647816329695,0,Hispanic,Low,0,0
3.2472513119484447,0,Black,Low,0,1
1.974126726185328,0,Hispanic,Middle,0,0
3.9716009623798962,0,Other minority,Middle,1,0
3.0840573762546173,1,White,Low,1,1
3.9458750025075267,1,Hispanic,Upper,1,1
1.7064248062272092,0,Other minority,Upper,0,0
3.8053658428339285,0,White,Middle,0,1
1.8113929741545296,1,Other minority,Middle,1,0
3.7385937046815068,0,Hispanic,Middle,0,0
3.5528964228619406,1,Black,Upper,0,1
3.7315842738489824,1,Other minority,Upper,0,0
1.3691980820778689,0,Asian,Upper,1,0
3.095892463972145,0,Other minority,Upper,0,0
3.362984606235462,1,Other minority,Low,0,0
3.645326331219613,0,Other minority,Low,1,1
1.6563770724239149,1,Asian,Low,0,1
3.948631117748987,0,Asian,Low,0,1
3.2125766507212115,0,Hispanic,Low,0,0
3.9075218310511253,1,Asian,Middle,1,1
3.060207251165964,0,White,Low,0,1
3.644342488557427,1,Hispanic,Upper,0,0
1.4564473342636182,0,Other minority,Low,1,0
3.5237240692363847,0,White,Upper,1,1
1.9150937532773369,0,Black,Upper,1,0
3.176531482680927,1,White,Low,0,1
3.150060325952307,0,Other minority,Upper,0,0
2.2404800796966917,0,Asian,Middle,1,0
3.2322641154090412,1,Black,Upper,1,1
3.959585069379499,1,Other minority,Upper,0,0
3.1870241518024716,0,White,Middle,1,1
2.0838793616199602,1,White,Upper,0,1
3.1579206863716944,0,Hispanic,Middle,1,0
3.957511645453226,1,Other minority,Low,0,1
3.1122504048947928,1,Asian,Middle,1,1
3.5866923450440598,0,Black,Upper,1,1
3.112377540488155,0,Black,Middle,1,1
3.7463661935460566,1,White,Upper,1,1
3.5899244216017334,0,Hispanic,Middle,1,1
1.0478292841625603,0,Asian,Middle,1,0
3.6726617679722846,0,Black,Low,1,1
3.054120957832109,0,White,Upper,1,1
3.2041537544840164,1,Black,Low,1,1
2.389135491191672,1,White,Upper,0,1
3.39511084584179,0,Asian,Low,0,1
1.769676926291728,0,Asian,Upper,1,0
3.640105197755271,1,Black,Upper,0,1
3.5656980774129248,0,Black,Upper,0,1
1.5999149096100984,1,White,Low,1,1
3.2713787870675346,0,White,Low,0,1
3.0193682719301282,1,Asian,Middle,1,1
3.962915876498764,0,White,Upper,0,1
1.918076995700703,0,Black,Middle,0,0
3.2007430581912226,1,White,Low,0,1
1.7977485021002142,0,White,Upper,1,1
3.0452081037829477,0,Asian,Upper,0,0
3.132856951273721,0,Hispanic,Low,1,1
3.13043788512155,0,Other minority,Upper,0,0
3.3453348292304073,0,Hispanic,Upper,1,0
1.4926064040703304,0,Black,Middle,0,0
1.9570628528411333,1,Other minority,Middle,1,0
3.379296967550568,1,Black,Upper,0,1
2.3109657203556946,0,Other minority,Low,0,0
2.086836352191929,1,White,Upper,1,1
3.09198658690485,1,Asian,Low,1,1
3.969430521848941,1,White,Upper,0,1
3.230929415696221,1,Hispanic,Upper,1,0
2.2408878701072448,1,Asian,Low,0,1
3.9253783730990017,0,Black,Upper,0,1
3.716430964819864,0,Black,Middle,1,1
1.639638189943545,0,Black,Middle,1,1
3.589894791057463,0,Asian,Low,1,1
1.3166161864232233,0,Black,Middle,1,1
1.3637934827908103,1,White,Low,0,1
3.0867518352464294,0,Hispanic,Middle,0,0
3.2941634617115993,0,Black,Low,1,1
3.987570144828139,1,White,Upper,1,1
1.6680177545138424,1,Other minority,Upper,1,0
3.157581076464255,1,Hispanic,Middle,1,1
3.166699884603303,1,Other minority,Low,0,0
2.2008428010851526,1,Black,Middle,1,1
3.8669022053961393,0,Hispanic,Low,1,1
3.5849717213112613,0,Black,Low,0,1
3.0140290123551154,1,Other minority,Middle,0,0
3.519124573973264,1,White,Low,0,1
3.5569798939563064,1,Asian,Upper,1,1
1.2972092126149455,1,Other minority,Low,0,0
1.3709554793387715,0,Other minority,Middle,1,0
1.9995583395377752,0,Hispanic,Low,0,0
1.7652057011290632,1,White,Low,1,1
1.0915021594410554,0,Other minority,Upper,1,0
2.207939003476962,0,White,Middle,1,1
1.4958740857931956,0,Hispanic,Middle,1,0
1.264508213005565,1,Black,Upper,1,1
2.3020150558242363,0,Asian,Low,0,0
3.6430037741364623,1,Asian,Upper,0,1
3.837478157179749,1,Other minority,Middle,0,0
2.272929673930112,0,Black,Upper,1,0
3.1361747001858062,1,White,Middle,0,1
3.2690537594404567,0,Asian,Low,0,1
3.2374776468451394,1,Asian,Upper,1,1
3.248899852338493,1,Asian,Low,1,1
3.1678866631572675,1,Black,Low,0,1
3.522738519447379,1,Hispanic,Upper,1,1
2.0927799447553666,1,Hispanic,Upper,0,0
3.7989992103041748,0,Black,Middle,0,1
3.186331878817284,1,Asian,Upper,0,0
2.3041508006729137,0,Hispanic,Upper,0,0
3.0549960579422715,1,Other minority,Low,0,0
3.555961061986891,0,Black,Low,1,1
3.0555777447945895,0,Other minority,Upper,0,0
3.7223842025315226,1,Black,Middle,0,1
2.0925470229337613,0,Black,Middle,1,1
1.8876139430592243,0,Hispanic,Upper,0,0
1.8857554643047507,1,White,Low,0,1
3.030755858385478,1,Asian,Low,0,1
1.5965194207326894,0,Asian,Middle,0,0
3.369596015518144,1,Asian,Upper,0,0
3.562467316237967,1,Black,Upper,0,1
3.51130655262026,0,White,Upper,1,1
3.23912743845551,1,Asian,Upper,0,0
2.105507562157365,1,Hispanic,Upper,1,0
3.7999262053725555,0,Asian,Upper,1,1
3.2930015021742687,0,Asian,Low,1,1
1.4707850137789098,0,White,Upper,1,1
3.9333961890147022,1,Other minority,Middle,0,0
3.8863928673835817,1,Asian,Upper,0,1
2.290224265742613,0,Hispanic,Upper,1,0
1.7125734162431958,0,Asian,Upper,0,0
3.69430133149894,1,Asian,Low,1,1
3.258759497495508,0,Asian,Low,1,1
1.1402598668705046,0,Asian,Low,1,1
3.177326101046557,1,Other minority,Low,0,0
3.612512466933114,1,Hispanic,Low,1,1
3.5922878570698065,0,Hispanic,Upper,1,0
3.6199616327788693,0,Other minority,Low,0,0
2.031423528170734,0,Asian,Upper,0,0
1.8619472502898318,1,Black,Middle,1,1
3.353468946044216,0,Asian,Middle,0,0
3.2607758049805486,1,White,Low,0,1
1.01401245089982,0,Other minority,Low,1,0
2.0609962318489305,0,Other minority,Middle,1,0
3.3913121096449106,1,Black,Middle,1,1
1.685603781295809,0,Hispanic,Low,0,0
3.887520178569998,1,Hispanic,Middle,1,1
3.7118198771733146,1,Asian,Low,1,1
3.118880699910784,1,Other minority,Low,0,0
1.1102505206672288,0,Other minority,Middle,0,0
1.038057281634022,1,Asian,Upper,1,0
3.902194073379429,0,Black,Middle,0,1
3.6140878646633197,1,Hispanic,Low,0,1
3.583435533909494,1,White,Upper,1,1
3.8588950094915244,0,Other minority,Low,1,1
3.1786140658864723,0,Hispanic,Middle,0,0
3.1975701069816007,1,White,Low,1,1
3.0837810988815857,1,Black,Middle,0,1
2.045308336020918,0,Black,Upper,1,0
1.4542981082272308,0,Other minority,Upper,0,0
1.2583736057343908,1,Hispanic,Middle,1,0
1.7932929643198037,1,White,Low,0,1
3.015290121374597,1,Hispanic,Low,1,1
3.2697818890617545,1,Hispanic,Upper,1,0
3.213802662557993,1,Hispanic,Middle,1,1
3.3917967339412893,1,Hispanic,Middle,0,0
2.2568023067121024,1,Asian,Low,1,1
3.6353457866520493,1,Other minority,Low,1,1
1.8655400279857293,0,White,Middle,0,1
3.1727101020909116,1,White,Low,1,1
3.840199583699123,0,Other minority,Upper,1,0
1.5602560024960281,1,Other minority,Upper,0,0
2.139841557022222,0,Hispanic,Middle,1,0
3.693198570097916,1,Asian,Middle,0,1
3.345338575363891,0,Hispanic,Upper,0,0
3.7039701562880354,0,White,Middle,0,1
3.0112584569625755,0,Asian,Middle,1,1
1.4576673380051899,1,Black,Middle,1,1
1.046658217290885,0,Hispanic,Middle,1,0
2.3864784572661812,1,Hispanic,Low,1,1
2.1821290763472057,0,White,Middle,1,1
1.2461453266762028,0,White,Middle,0,1
3.8477290415267165,1,Asian,Low,0,1
2.2753856939612227,0,Hispanic,Middle,0,0
3.6968824323061624,1,Hispanic,Low,1,1
3.551608184580222,1,Black,Low,0,1
1.6771392303093948,0,Asian,Low,1,1
3.9067404044483713,1,Other minority,Low,0,1
1.738746831692624,1,Asian,Middle,0,0
1.9744847516048192,0,Asian,Middle,1,0
3.399903302980791,0,Black,Upper,1,1
1.259246477397122,1,Asian,Upper,0,0
1.5070512967369547,0,White,Upper,0,0
2.117850815396844,1,Asian,Low,1,1
3.938680079145479,1,White,Middle,0,1
3.030875712689474,1,Hispanic,Low,1,1
1.8578909322408519,1,Asian,Low,0,1
1.7838499856333643,0,Asian,Upper,0,0
2.360563743109359,1,Hispanic,Low,0,0
1.5683917148741644,1,Other minority,Middle,1,0
3.8299601414651407,1,Asian,Low,0,1
3.310313000624673,1,Hispanic,Upper,1,0
3.7822141396234983,1,Black,Middle,0,1
1.1488149673069001,0,Other minority,Low,1,0
3.675595940151999,0,Black,Middle,1,1
3.8562258373697884,1,Hispanic,Middle,0,1
3.0284661516507296,1,Asian,Upper,1,1
3.517913789843241,0,White,Middle,0,1
3.347952788802677,0,Other minority,Middle,0,0
1.9769681722348675,1,Asian,Middle,1,1
2.124540110315932,0,Black,Upper,0,0
2.0756499959953647,0,White,Middle,1,1
3.5995850989100764,1,Black,Middle,0,1
2.2510263253694074,1,Other minority,Low,0,0
2.105816401820017,0,Black,Middle,0,0
3.654042815955432,0,Black,Upper,1,1
3.319627405871312,1,Hispanic,Middle,0,0
3.6033643342784725,0,White,Middle,1,1
1.5433417623895114,1,Asian,Middle,1,1
3.299362821129565,0,Hispanic,Middle,0,0
3.005793236908163,1,Asian,Middle,1,1
3.7563073137204546,1,Other minority,Upper,1,0
3.210662460799777,0,Asian,Upper,0,0
3.3332885320855503,1,Hispanic,Low,1,1
1.4017044281392648,0,White,Upper,1,1
3.651910187766763,1,Other minority,Middle,0,0
1.9170637545936988,0,Hispanic,Middle,0,0
1.0746290829910103,0,Asian,Low,0,0
3.849119947041992,1,Black,Upper,0,1
2.222093307379912,0,Black,Middle,1,1
1.5389372055447303,1,Hispanic,Upper,1,0
3.7171628841040416,0,Black,Upper,1,1
3.5377731097348906,0,Black,Low,0,1
3.2183201809194024,1,Asian,Middle,0,1
1.7940775177878459,1,Asian,Middle,0,0
3.2939903200702485,1,Black,Low,1,1
3.7338732683315783,1,White,Middle,1,1
1.877007786485071,1,Hispanic,Low,0,0
3.97860758596505,1,Hispanic,Middle,0,1
3.0906625060286532,1,Asian,Low,0,1
2.3595329237335383,1,Black,Upper,0,0
3.5166666314280732,0,Other minority,Upper,0,0
1.9493074390124363,1,Other minority,Low,1,0
1.9481411234017338,0,Asian,Upper,1,0
3.7995669619039476,1,White,Middle,0,1
3.2695704031864468,0,White,Upper,0,1
3.789093468630356,1,White,Upper,0,1
3.5445980666061625,1,Black,Middle,1,1
3.948852694279224,1,Black,Middle,0,1
3.7751430293617676,1,Asian,Middle,0,1
3.869914770980664,0,Black,Upper,1,1
1.3775466838393426,1,Black,Low,0,1
3.342783980521094,0,Asian,Middle,0,0
1.2206215739206931,0,Other minority,Middle,1,0
3.95266029159459,1,Hispanic,Middle,0,1
3.603171096123905,1,Asian,Low,0,1
3.9147524106911193,1,Black,Middle,1,1
3.3447806449995925,0,White,Low,1,1
3.0367982458147225,1,Asian,Middle,0,1
3.723488394601597,0,White,Middle,1,1
3.135917788503159,0,Asian,Middle,0,0
3.2468212494049062,0,Hispanic,Middle,0,0
3.6582372617160153,1,Black,Low,0,1
3.79873026702261,0,Black,Low,0,1
2.130144129093074,0,Other minority,Low,0,0
3.328889931593807,1,Asian,Low,0,1
3.1592315569931095,0,Asian,Middle,0,0
1.0942710227319536,0,Black,Middle,1,1
3.2294979605112992,0,Other minority,Low,0,0
3.0116726096527575,1,White,Middle,0,1
3.5390402198200768,0,Hispanic,Middle,1,1
3.639303870326302,0,Other minority,Upper,0,0
3.1001080552257747,1,Other minority,Middle,1,0
2.18698082531259,0,White,Middle,0,1
3.759639109398038,1,White,Middle,1,1
3.177911790238686,0,Asian,Upper,0,0
3.2272968081423907,0,Black,Middle,1,1
1.5578426023889023,1,Other minority,Upper,0,0
1.259943493418904,0,Black,Upper,1,0
2.0818304814857784,1,Other minority,Middle,0,0
2.221001874075301,1,Asian,Low,1,1
1.3905321661180512,1,Other minority,Middle,0,0
1.893220846600527,1,Hispanic,Low,1,1
3.596662535051083,1,Other minority,Low,0,1
2.0539575690891434,0,Black,Upper,1,0
1.0635498918259065,1,White,Low,0,1
3.13998274884528,1,Black,Middle,0,1
1.1217737570175796,1,White,Low,0,1
1.1462732840023444,1,Other minority,Low,0,0
3.000422827884929,1,Black,Middle,1,1
3.752591730968239,0,Black,Upper,1,1
3.824672948059398,0,Asian,Middle,1,1
3.073898316555855,0,Asian,Middle,0,0
3.6548591331739715,1,Other minority,Middle,1,1
3.7670706206000806,0,Other minority,Upper,1,0
1.1717875713376729,1,White,Low,1,1
1.8611515846816777,0,Asian,Middle,0,0
3.330086350309804,0,Hispanic,Middle,0,0
1.823961984891465,1,Hispanic,Upper,0,0
3.0705507841066946,0,Hispanic,Low,0,0
3.0759717898788406,1,Hispanic,Upper,1,0
1.760005746242049,0,White,Low,0,1
1.5986626733814826,1,Asian,Low,0,1
3.5747969703797327,1,Other minority,Low,0,1
3.9213346917738336,1,Asian,Low,1,1
3.3718858450029368,0,Hispanic,Upper,0,0
3.2203767131535117,0,Asian,Middle,1,1
3.5127656090037966,1,Black,Middle,1,1
3.905399397917134,1,Black,Low,0,1
1.1975169330564392,1,Black,Low,1,1
3.896399729558729,0,Other minority,Low,1,1
1.1493939698335383,0,Hispanic,Middle,0,0
3.102352708092846,0,Other minority,Middle,1,0
1.1013300068636882,1,Hispanic,Middle,0,0
3.353152670081838,1,Black,Upper,0,1
3.868923473088085,1,Black,Middle,0,1
1.742918608145324,0,Asian,Low,1,1
1.8374568365050568,1,Hispanic,Low,0,0
3.521757769441673,1,White,Low,0,1
3.1944179296297457,1,White,Low,0,1
3.3925779199352055,1,Asian,Upper,0,0
3.7183490229620455,1,Other minority,Upper,1,0
3.624512020937002,1,White,Upper,0,1
2.1480494713272233,1,Asian,Low,1,1
3.5179947152952615,0,White,Low,0,1
3.244911080380084,0,Asian,Middle,0,0
3.627766698672634,1,Hispanic,Middle,1,1
3.3601977573902007,1,Asian,Upper,0,0
3.076852978728762,1,Hispanic,Upper,1,0
3.245143589393806,1,Other minority,Middle,1,0
1.168520567293187,1,Asian,Low,1,1
3.9024578211338667,1,Asian,Low,0,1
1.4623563904397088,1,Hispanic,Middle,1,0
3.16648401266144,1,Black,Low,1,1
2.1094403449870436,0,White,Upper,1,1
3.5602520256326082,0,Hispanic,Middle,1,1
3.0922388043961813,0,Black,Low,0,1
3.7740106517410066,1,Other minority,Upper,1,0
3.2165986541457574,1,Hispanic,Middle,1,1
3.2467485544569765,1,White,Middle,1,1
1.1903235199348017,1,Asian,Middle,1,1
3.6346373530625145,1,Hispanic,Middle,0,1
1.3025220282256538,1,Black,Upper,0,0
3.9302294040803,0,White,Middle,0,1
3.627217022649453,1,White,Low,0,1
3.9449234301109035,0,Asian,Low,1,1
3.9840589642474704,1,Black,Upper,0,1
1.9174795882265872,0,White,Upper,0,0
3.0665327682461867,1,Other minority,Upper,1,0
3.185262720813399,0,Black,Upper,1,1
3.8709913724536222,1,Hispanic,Upper,0,0
3.9578219477113,1,Asian,Upper,0,1
1.012138249923863,0,Other minority,Upper,1,0
3.3154695127881735,1,Hispanic,Middle,0,0
3.5092798913017105,1,Other minority,Upper,1,0
3.164133815202645,1,Hispanic,Low,1,1
3.143718147365483,1,Asian,Middle,1,1
3.3439544543089665,1,Asian,Low,1,1
3.3457087230116316,0,White,Upper,0,1
2.145810287082229,0,Black,Upper,1,0
2.0722690040096783,0,Hispanic,Middle,0,0
3.8652352968638235,1,Other minority,Upper,0,0
3.09938816258943,0,Asian,Upper,1,0
2.0760382198814673,1,Hispanic,Middle,1,0
3.2062795306898693,1,Other minority,Upper,0,0
3.1421082233646014,0,Other minority,Low,0,0
3.550883420213964,0,Hispanic,Upper,0,0
3.954025480402577,1,Black,Middle,1,1
3.958910540997587,0,Other minority,Middle,0,0
3.63381620318212,0,Black,Low,0,1
2.1096277378113615,1,White,Middle,0,1
1.7917996138061492,1,Black,Low,1,1
3.3336522159920614,1,Other minority,Upper,0,0
3.2788975059369427,1,White,Middle,0,1
1.9244434641004449,1,White,Upper,0,1
3.246693187337092,0,Black,Middle,1,1
3.3388869283738063,0,Asian,Low,1,1
1.0896173395127544,1,White,Middle,0,1
1.7699601012966806,1,Hispanic,Low,1,1
3.622525621861293,0,Asian,Upper,0,0
3.5314177568482634,0,Black,Upper,0,1
3.7753306540466856,1,Black,Low,0,1
3.6678253265427996,1,Hispanic,Upper,0,0
3.5471713107542713,0,Other minority,Low,1,1
3.360628144885646,1,White,Low,0,1
3.0901679310830708,1,Black,Low,0,1
3.2576155800691224,1,Other minority,Low,0,0
3.18313231070882,1,Asian,Low,1,1
1.6179775518727357,0,Other minority,Middle,0,0
3.8019041574597474,0,Other minority,Middle,1,0
3.9932434950136475,1,White,Low,0,1
1.035468448447924,1,Hispanic,Middle,1,0
3.5885548586998244,1,Black,Low,1,1
3.615669388300657,0,Hispanic,Low,1,1
3.8654098389691036,1,Other minority,Upper,1,0
3.753493474690233,1,Black,Middle,1,1
3.3280428969038467,1,Black,Upper,0,1
3.724138405431273,0,Black,Upper,1,1
3.825392221220494,1,Hispanic,Middle,0,1
3.747284501127493,1,White,Upper,0,1
3.915527497853825,0,Other minority,Upper,1,0
3.0380065769761457,1,Other minority,Upper,0,0
